hospital_id,name,address,latitude ,longitude,specialties,doctor_name,contact_info
1,R.K. Mission Free TB & chest clinic,"Arya Samaj Road, KarolBagh, ND-5",28.64583782,77.19635914,Tuberclosis,Dr. S.K. Biswas,25768608
2,Delhi Govt. Dispensary,"Tank Road, Cats Building, New Delhi – 110005",28.65134094,77.18090159,Tuberclosis,Dr. Sudha Sachdeva,25769097
3,Patel Nagar Hospital,"East Patel Nagar, New Delhi – 8  ",28.64693758,77.17224081,Tuberclosis,Dr. Bebita Mittal,25781396
4,Chest Clinic ,"Moti Nagar, New Delhi – 110015",28.66265909,77.14109105,Tuberclosis,Dr.Seth,25101252
5,Delhi Govt. Dispensary,"I-Block Shakur Pur, J.J. Colony, New Delhi",28.69056533,77.14618735,Tuberclosis,Dr. Sudha Gupta,27187380
6,Deen Dayal Uppadaya Hospital,"Hari Nagar, New Delhi – 110064",28.62820532,77.11223192,Tuberclosis,Dr. Ashok,25494337
7, Guru Gobind Singh Hospital,"Raghuvir Nagar, New Delhi 27",28.65313723,77.10746351,Tuberclosis, Dr. Manoj Kumar Gami ,25114548
8,Primary Health Centre,"Palam Village, Palam Colony, New Delhi",28.59173867,77.08173081,Tuberclosis,Dr. Charan Singh, 25016231
9,RTRM Hospital,"Jaffarpur Beyond Nazafgarh , New Delhi –73",28.59489882,76.91412648,Tuberclosis,Dr. B.B. Sinha, 28019473
10,Chest Clinic,"Gulabi Bagh, Kali Das Marg, Delhi – 7 ",28.67309881,77.18710142,Tuberclosis,Dr. R.K. Mehra,23654823
11,B.J.R.M. Hospital,"Jahangirpuri, Delhi-33",28.7338995,77.17281351,Tuberclosis, Dr. B.K. Vashishat,27233955
12,Sanjay Gandhi Memorial Hospital,"S-Block, Mangol Puri, Delhi-83",28.69460778,77.08182593,Tuberclosis, Dr. S.K. Arora, 27914171
